,Duration [s],Distance [nm],Cruise flight level [100 ft],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1279.8926455313251,125,180,4500.054517653874,14175.171730609707,119.84350723754162,3.78004845982318,5535.0651820580115,11.908886862023941,0.1367836451868109,0.07759287806887454,0.2714078000657147,0.34900067813458924
2,1864.3623682914229,200,240,6756.948809246333,21284.388749125945,177.64515514423368,5.675834513942787,8311.041272968654,15.809229010128194,0.17794872552999413,0.13020406373241386,0.43958593207288693,0.5697899958053008
3,2215.8990757412075,250,280,8107.836809778736,25539.685950803014,212.41894636266156,6.81058797018365,9972.649089377024,18.480554610731,0.21136565389584283,0.16757288438338733,0.5547208142363085,0.7222936986196958
4,4049.870336,500,360,14359.825232832,45233.449483420794,335.50096444864,12.062260726976001,17662.5871744,25.01153797376,0.251793586930496,0.3622471907302399,1.1381675382993794,1.5004147290296195
5,5901.7144136938105,750,400,20557.65259795233,64756.605683549824,462.39859030715087,17.26845574477684,25285.90715213566,31.446686390657497,0.2766838704489842,0.6273317920185572,1.9266956841791714,2.5540274761977284
6,7747.466791408787,1000,400,27034.624535431558,85159.06728660942,586.1296476700411,22.70913895875514,33252.65530569816,35.65391483679572,0.2773787806500983,0.8625946212215132,2.6221517231204876,3.4847463443420006
7,11442.802292320923,1500,420,39871.378380973336,125594.84190006599,848.9836421090951,33.49200378869042,49041.8572522153,46.664798190746694,0.2905867441599825,1.4289123544360212,4.2993156380680695,5.728227992504091
8,15142.216411343546,2000,420,53063.20444844208,167149.0940125925,1111.2951368695253,44.57304747682093,65267.71806367744,55.79798115195392,0.2942340479250829,1.9288686831584734,5.779105858965042,7.707974542123515
9,18833.200984511943,2500,420,65959.4420319366,207772.2424006003,1363.7420937663583,55.40595805324769,81130.19153679913,64.98551382759034,0.2958952010847641,2.442009302897106,7.296035756829931,9.738045059727037
10,22534.9889402212,3000,420,79268.23560828787,249694.94216610678,1626.3382534425318,66.58534995310096,97499.97388632229,73.66494067198657,0.3003714980134397,2.9120579897998047,8.688183161839287,11.600241151639093
