,Distance [nm],Cruise flight level [100 ft],Duration [Excel],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
1,125,180,0.01486374,2179.568342,6865.640276,44.28617334,1.830833745,2680.872102,6.569430675,0.595613497,0.064696941,0.136221921,0.200918861
2,200,270,0.02154433,3207.884585,10104.83644,66.03649413,2.694626794,3945.697203,9.324165378,0.852749086,0.110411149,0.218307611,0.32871876
3,250,280,0.025851497,3881.463315,12226.60944,76.61722451,3.260436733,4774.205247,10.03106067,0.896069541,0.138524669,0.272247316,0.410771985
4,500,360,0.048227035,6501.913555,20481.0277,110.7112214,5.461605749,7997.352934,14.64202987,1.145331526,0.248113175,0.520545817,0.768658992
5,750,380,0.070447198,9119.897599,28727.67744,144.8810831,7.660707148,11217.47872,17.40519778,1.25977777,0.390573895,0.802592428,1.193166323
6,1000,400,0.092588003,11504.93305,36240.5391,174.9588221,9.66414276,14151.06646,19.7105661,1.374648354,0.563633828,1.114221383,1.677855211
7,1500,400,0.136936558,16743.65391,52742.50981,241.1031942,14.0646678,20594.66641,24.22939921,1.487766939,0.847475527,1.678351328,2.525826855
8,2000,400,0.181335623,22120.63341,69679.99523,310.5877091,18.58128753,27208.31441,28.90470359,1.606043751,1.128751834,2.241184986,3.36993682
9,2500,400,0.225616457,27265.70517,85886.97129,373.9149818,22.90318108,33536.75918,33.32108877,1.708853552,1.408960125,2.800505615,4.209465741
10,3000,400,0.270053315,33070.50401,104172.0876,449.9617188,27.77923761,40676.66317,38.77057213,1.820771163,1.638910007,3.312336976,4.951246983
11,3500,400,0.314318454,38216.24095,120381.159,513.2978089,32.10170405,47006.03571,43.17751566,1.922344639,1.918781337,3.871192928,5.789974266
12,4000,400,0.358770498,44335.46578,139656.7172,594.7187332,37.24180048,54532.67651,49.0564038,2.031227757,2.124711548,4.359104233,6.483815781
13,4500,400,0.40305188,49479.71611,155861.1057,658.0209657,41.56297888,60860.08129,53.45614375,2.13263735,2.405146878,4.918644707,7.323791585
14,5000,400,0.44728586,55014.29803,173295.0388,728.7392453,46.21203697,67667.66258,58.29051597,2.234897337,2.660686676,5.452802778,8.113489453
15,5500,400,0.491571026,60153.41914,189483.2703,791.9392944,50.52886887,73988.6811,62.70315971,2.33810779,2.941131479,6.012247876,8.953379355
16,6000,400,0.535854416,65293.87544,205675.7076,855.2039241,54.84692572,80311.53586,67.1325615,2.443003124,3.221516264,6.571629272,9.793145536
