,Distance [nm],Cruise flight level [100 ft],Duration [Excel],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
1,125,180,0.014010617,3550.059553,11182.68759,63.46754839,2.982053577,4366.577832,10.64931213,0.345028945,4.51E-04,0.222883008,0.223333925
2,200,270,0.020328413,5321.569784,16762.94482,92.33942645,4.470114637,6545.535596,14.07858448,0.471357867,4.88E-04,0.363104582,0.363592726
3,250,280,0.024594571,6447.76438,20310.4578,106.2095181,5.416133829,7930.753188,15.61837988,0.518770354,3.25E-04,0.457378601,0.457704095
4,500,360,0.045974693,11438.45359,36031.12881,163.911925,9.608310516,14069.30879,23.6865115,0.772964381,4.90E-04,0.939512505,0.940002807
5,750,380,0.067579707,16571.10392,52198.97736,222.8479606,13.91974101,20382.48396,29.53068913,1.008660573,4.15E-04,1.50430516,1.504720512
6,1000,380,0.089199391,21731.06577,68452.85716,280.1760249,18.25409185,26729.22795,35.73583844,1.214480545,4.13E-04,2.032493754,2.032906593
7,1500,400,0.132449362,31921.68662,100553.3129,396.3644255,26.81422016,39263.61025,45.6391172,1.7248567,4.17E-04,3.292518787,3.292936225
8,2000,400,0.17575196,42454.86904,133732.8375,517.0488558,35.66207918,52219.50093,57.23165222,2.163374737,4.18E-04,4.415783339,4.41620094
9,2500,400,0.218995451,52678.8338,165938.3265,630.793371,44.25017992,64794.93892,68.45382293,2.606740303,4.20E-04,5.555033631,5.555453567
10,3000,400,0.262291792,63470.01858,199930.5585,755.7734592,53.31482438,78068.0394,81.5611854,3.001624326,4.20E-04,6.568195363,6.568615464
11,3500,400,0.305521359,73695.96759,232142.2979,869.5850037,61.90463388,90646.05117,92.81571952,3.444488141,4.17E-04,7.705262546,7.705679883
12,4000,400,0.348771072,84787.31836,267080.0528,999.4968148,71.22134405,104288.4001,107.2036759,3.804862276,4.17E-04,8.632969193,8.633386633
13,4500,400,0.392009091,95022.83689,299321.9362,1113.471433,79.81919656,116878.489,118.4792227,4.247751279,4.17E-04,9.769471247,9.769888577
14,5000,400,0.435190124,106398.4758,335155.1987,1248.35601,89.37471253,130869.7503,133.6855727,4.585776063,4.17E-04,10.64203236,10.64244974
15,5500,400,0.478439573,116644.7213,367430.8721,1362.516736,97.98144061,143473.0224,144.9693841,5.028683459,4.20E-04,11.77814925,11.77856912
16,6000,400,0.521955042,128634.5213,405198.742,1508.674977,108.0526567,158219.8842,160.1427668,5.365955722,4.17E-04,12.64808057,12.64849791
17,6500,400,0.565066402,139411.3378,439145.7139,1633.123453,117.1051695,171475.5423,172.550723,5.773403251,4.17E-04,13.69559296,13.69601018
18,7000,400,0.608388086,149640.4232,471367.3332,1746.808406,125.6983848,184058.3738,183.7872359,6.21909296,4.17E-04,14.83926251,14.83967962
19,7500,400,0.651708639,159878.6074,503617.6135,1860.676056,134.2984302,196650.2912,195.0497459,6.664350486,4.17E-04,15.98119675,15.98161421
