,Distance [nm],Cruise flight level [100 ft],Duration [Excel],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
1,125,180,0.015235409,1786.520152,5627.538478,41.05786701,1.500676376,2197.421242,4.834890165,0.179634268,0.064818169,0.107959794,0.172777963
2,200,240,0.022165267,2692.415946,8481.110229,60.16332085,2.261628654,3311.675533,6.236326431,0.224327507,0.10755554,0.175643866,0.283199407
3,250,280,0.026289321,3226.649317,10163.94535,71.82921722,2.710388976,3968.780285,7.128561964,0.249707695,0.13483706,0.22160207,0.35643913
4,500,360,0.047615695,5713.713112,17998.1963,112.6533769,4.799514564,7027.863573,10.05457667,0.299853997,0.295605513,0.454830716,0.750436229
5,750,400,0.069299777,8071.122975,25424.03737,153.7645883,6.779740791,9927.478147,13.07356193,0.327152047,0.484476875,0.761893082,1.246369958
6,1000,400,0.090920479,10641.23868,33519.90183,194.8388588,8.938648105,13088.72598,15.25823981,0.327280503,0.669667885,1.037437015,1.7071049
7,1500,420,0.134202506,15553.61084,48993.87414,281.0696764,13.06501419,19130.90455,20.7987847,0.34232612,1.066390695,1.696222884,2.762613578
8,2000,420,0.177560288,20705.44416,65222.14909,368.1740689,17.39263381,25467.71273,25.59780127,0.344788565,1.449799394,2.295563955,3.745363349
9,2500,440,0.220792412,25537.0444,80441.68985,464.1467417,21.45112701,31410.49002,32.54649128,0.359978914,1.891373903,3.131760972,5.023134875
10,3000,440,0.264178165,30705.60249,96722.64783,555.0344114,25.79275143,37767.87819,37.67918369,0.362350873,2.285815106,3.773484383,6.059299489
11,3500,440,0.307399016,35715.74804,112504.6063,641.3330814,30.00129958,43930.41643,42.83659228,0.362628075,2.682407169,4.424015673,7.106422842
12,4000,440,0.350800333,40920.81966,128900.5819,732.5683495,34.37348729,50332.63838,47.89169395,0.365531822,3.073864763,5.054499624,8.128364387
13,4500,440,0.394029817,45933.31777,144689.951,818.8336304,38.5839732,56498.02168,53.04088228,0.365810733,3.470228147,5.703999225,9.174227372
14,5000,440,0.437509714,51380.0299,161847.0942,906.4051406,43.15915284,63197.41063,56.93504757,0.368581995,3.823895287,6.188255073,10.01215036
15,5500,440,0.480749906,56391.87829,177634.4166,992.7360807,47.36917228,69362.00949,62.10021069,0.369127676,4.220595072,6.839042355,11.05963743
