,Duration [s],Duration [hh:mm:ss],Distance [nm],Cruise flight level [100 ft],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
155,9300.0,02:35:00,1213.1735289358794,388.5269411574352,163.6260064711314,515.4219213875913,1.8655825065305862,0.13744595455592545,201.25868183305283,0.15901228966527725,0.008194869897523382,6.422611885164783e-08,0.020231629381388228,0.02023170322536849
156,9360.0,02:36:00,1221.2017937923397,388.84807175169357,163.6260064711314,515.4219213875913,1.8655825065305862,0.13744595455592545,201.25868183305283,0.15901228966527015,0.008194869897523605,6.422611885170204e-08,0.020231629381387783,0.020231703225368047
157,9420.0,02:37:00,1229.2300586488,389.169202345952,163.6260064711314,515.4219213876058,1.8655825065305862,0.13744595455592545,201.25868183305647,0.15901228966527725,0.008194869897523605,6.422611885170204e-08,0.020231629381387783,0.020231703225368047
158,9480.0,02:38:00,1237.25832350526,389.4903329402104,163.6260064711314,515.4219213875913,1.8655825065305862,0.137445954555929,201.25868183305283,0.15901228966527015,0.008194869897523605,6.422611885164783e-08,0.020231629381388228,0.020231703225368047
159,9540.0,02:39:00,1245.2865883617203,389.8114635344688,163.6260064711314,515.4219213875913,1.865582506530643,0.1374459545559219,201.25868183305647,0.15901228966527725,0.008194869897523605,6.422611885170204e-08,0.020231629381388228,0.020231703225368047
160,9600.0,02:40:00,1253.3148532181804,390.1325941287272,163.6260064711314,515.4219213875913,1.8655825065305862,0.137445954555929,201.25868183304556,0.15901228966527015,0.008194869897523382,6.422611885164783e-08,0.020231629381387783,0.02023170322536849
161,9660.0,02:41:00,1261.3431180746406,390.4537247229856,163.6260064711314,515.4219213876058,1.8655825065305862,0.13744595455592545,201.2586818330601,0.15901228966527015,0.008194869897523605,6.422611885170204e-08,0.020231629381387783,0.020231703225368047
162,9720.0,02:42:00,1269.371382931101,390.77485531724403,163.6260064711314,515.4219213875913,1.8655825065305862,0.13744595455592545,201.25868183305283,0.15901228966527725,0.008194869897523605,6.422611885170204e-08,0.020231629381388228,0.020231703225368047
163,9780.0,02:43:00,1277.399647787561,391.09598591150245,163.6260064711314,515.4219213875913,1.8655825065305862,0.13744595455592545,201.25868183305283,0.15901228966527015,0.008194869897523605,6.422611885164783e-08,0.020231629381387783,0.020231703225368047
164,9840.0,02:44:00,1285.4279126440213,391.4171165057609,163.6260064711314,515.4219213876058,1.8655825065305862,0.13744595455592545,201.25868183305283,0.15901228966527725,0.008194869897523605,6.422611885170204e-08,0.020231629381388228,0.020231703225368047
165,9900.0,02:45:00,1293.4561775004813,391.73824710001924,163.62600647112777,515.4219213875913,1.8655825065305862,0.137445954555929,201.25868183305283,0.15901228966527015,0.008194869897523382,6.422611885170204e-08,0.020231629381387783,0.02023170322536849
