,Duration [s],Duration [hh:mm:ss],Distance [nm],Cruise flight level [100 ft],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
36,2160.0,00:36:00,240.1153472804746,278.0230694560949,110.10108441220018,343.74341597904674,1.8559309357068172,0.09122552451530197,136.8803344363776,0.11397271299982847,0.006984556044740131,0.004532742235854287,0.008696697497966088,0.013229439733820347
37,2220.0,00:37:00,248.17684622449562,279.63536924489915,109.95108441220063,372.54341597904676,1.8559309357068314,0.09122552451530197,141.2303344363785,0.11397271299982847,0.006984556044740242,0.004532742235854287,0.008696697497966144,0.013229439733820403
38,2280.0,00:38:00,256.0042342768349,281.92135496858714,93.04594070097191,311.16221332235983,1.354639349842779,0.07349650835001187,113.62008665543362,0.13651693369020101,0.007566106438791964,0.0036570856589036582,0.007930177018770523,0.011587262677674237
39,2340.0,00:39:00,263.76320351865206,284.40422512596865,92.87797124748958,288.13310955373635,1.0581370928004787,0.06831521076473956,107.9832150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193217,0.011107337117436
40,2400.0,00:40:00,271.52217276046923,286.88709528335016,82.97797124748914,278.8331095537345,1.2081370928004787,0.06831521076474001,106.4832150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193217,0.011107337117436
41,2460.0,00:41:00,279.2811420022864,289.3699654407316,90.17797124748958,274.7831095537364,1.2081370928004787,0.06831521076473956,113.8332150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193273,0.011107337117436056
42,2520.0,00:42:00,287.0401112441035,291.85283559811313,90.32797124748959,290.08310955373634,1.2081370928004929,0.06831521076474001,114.2832150610684,0.14310547279106522,0.00773606429907725,0.003401175389242783,0.007706161728193217,0.011107337117436
43,2580.0,00:43:00,294.7990804859207,294.33570575549464,84.17797124748958,292.93310955373454,1.2081370928004787,0.06831521076473956,110.8332150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193217,0.011107337117436
44,2640.0,00:44:00,302.55804972773785,296.8185759128761,87.92797124749049,269.08310955373634,1.2081370928004787,0.06831521076473956,111.88321506106931,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193217,0.011107337117436
45,2700.0,00:45:00,310.317018969555,299.3014460702576,90.02797124748868,263.38310955373635,1.0581370928004787,0.06831521076474001,110.8332150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193273,0.011107337117436056
46,2760.0,00:46:00,318.0759882113722,301.7843162276391,93.62797124749049,261.43310955373454,1.2081370928004787,0.06831521076473956,107.0832150610684,0.14310547279106522,0.007736064299077139,0.0034011753892427554,0.007706161728193217,0.011107337117435945
47,2820.0,00:47:00,325.83495745318936,304.2671863850206,84.47797124748868,257.68310955373636,1.0581370928004787,0.06831521076474001,100.0332150610684,0.14310547279106522,0.00773606429907725,0.003401175389242783,0.007706161728193217,0.011107337117436056
48,2880.0,00:48:00,333.59392669500653,306.7500565424021,88.2279712474905,273.13310955373635,1.0581370928004787,0.06831521076473956,103.6332150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193217,0.011107337117436056
49,2940.0,00:49:00,341.3528959368237,309.23292669978355,89.27797124748959,287.53310955373456,1.0581370928004787,0.06831521076474001,103.6332150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193273,0.011107337117435945
50,3000.0,00:50:00,349.11186517864087,311.71579685716506,93.02797124748959,261.43310955373636,1.0581370928004787,0.06831521076474001,101.0832150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193217,0.011107337117436056
51,3060.0,00:51:00,356.870834420458,314.1986670145466,93.47797124748959,278.23310955373637,1.2081370928004929,0.06831521076473912,107.9832150610684,0.14310547279106522,0.00773606429907725,0.003401175389242783,0.007706161728193217,0.011107337117436056
52,3120.0,00:52:00,364.62980366227515,316.681537171928,81.47797124748959,293.68310955373454,1.0581370928004787,0.06831521076474001,110.83321506106931,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193273,0.011107337117435945
53,3180.0,00:53:00,372.3887729040923,319.16440732930954,91.22797124748959,262.18310955373636,1.0581370928004787,0.06831521076474001,106.0332150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193217,0.011107337117436056
54,3240.0,00:54:00,380.1477421459095,321.64727748669105,84.62797124748958,265.33310955373634,1.2081370928004787,0.06831521076473912,115.0332150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193217,0.011107337117435945
55,3300.0,00:55:00,387.90671138772666,324.1301476440725,85.07797124748959,264.28310955373456,1.0581370928004787,0.06831521076474001,111.2832150610684,0.14310547279106522,0.007736064299077139,0.003401175389242783,0.007706161728193273,0.011107337117436056
56,3360.0,00:56:00,395.66568062954383,326.613017801454,94.07797124748959,280.63310955373817,1.0581370928004787,0.06831521076474001,109.4832150610684,0.14310547279106345,0.007736064299077139,0.003401175389242783,0.007706161728193162,0.011107337117435945
