,Duration [s],Duration [hh:mm:ss],Distance [nm],Cruise flight level [100 ft],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
0,0.0,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,60.0,00:01:00,5.799968259604099,8.351954293829902,128.34813069491457,404.2966116611411,3.4041991268154277,0.10781264067243015,157.86796656965853,0.7032755090603373,0.07536877242188848,0.0014725888340399347,0.008596427363948092,0.010069016197988027
2,120.0,00:02:00,11.599936519208198,16.703908587659804,128.34813069491457,404.2966116611411,3.4041991268154277,0.10781264067243015,157.86796656965853,0.7032755090603373,0.07536877242188848,0.0014725888340399347,0.008596427363948092,0.010069016197988027
3,180.0,00:03:00,17.399904778812296,25.055862881489706,128.34813069491463,404.296611661141,3.4041991268154277,0.10781264067243018,157.8679665696585,0.7032755090603371,0.0753687724218885,0.0014725888340399347,0.00859642736394809,0.010069016197988025
4,240.0,00:04:00,23.199873038416396,33.40781717531961,128.34813069491452,404.29661166114124,3.4041991268154277,0.10781264067243013,157.86796656965856,0.7032755090603375,0.07536877242188847,0.0014725888340399347,0.008596427363948094,0.010069016197988029
5,300.0,00:05:00,28.999841298020495,41.75977146914951,128.34813069491463,404.296611661141,3.4041991268154277,0.10781264067243013,157.8679665696585,0.7032755090603371,0.0753687724218885,0.0014725888340399347,0.00859642736394809,0.010069016197988029
6,360.0,00:06:00,34.79980955762459,50.11172576297941,128.34813069491463,404.296611661141,3.4041991268154277,0.10781264067243024,157.8679665696585,0.7032755090603371,0.0753687724218885,0.0014725888340399347,0.00859642736394809,0.010069016197988022
7,420.0,00:07:00,40.59977781722869,58.46368005680932,128.34813069491452,404.29661166114147,3.4041991268154277,0.10781264067243013,157.8679665696585,0.7032755090603375,0.0753687724218885,0.0014725888340399347,0.00859642736394809,0.010069016197988029
8,480.0,00:08:00,46.39974607683279,66.81563435063921,128.34813069491452,404.296611661141,3.4041991268154277,0.10781264067243013,157.86796656965862,0.7032755090603375,0.07536877242188844,0.0014725888340399347,0.008596427363948098,0.010069016197988029
9,540.0,00:09:00,52.19971433643689,75.16758864446912,128.34813069491474,404.296611661141,3.4041991268154277,0.10781264067243013,157.8679665696584,0.7032755090603366,0.07536877242188844,0.0014725888340399347,0.008596427363948084,0.010069016197988029
10,600.0,00:10:00,57.99968259604099,83.51954293829903,128.34813069491452,404.296611661141,3.4041991268154277,0.10781264067243013,157.86796656965862,0.7032755090603375,0.07536877242188855,0.0014725888340399347,0.008596427363948098,0.010069016197988029
11,660.0,00:11:00,63.79965085564509,91.87149723212893,128.34813069491452,404.29661166114147,3.4041991268154277,0.10781264067243024,157.86796656965862,0.7032755090603375,0.07536877242188844,0.0014725888340399347,0.008596427363948098,0.010069016197988029
12,720.0,00:12:00,69.59961911524918,100.22345152595882,128.34813069491474,404.29661166114056,3.4041991268154277,0.10781264067243024,157.8679665696584,0.7032755090603366,0.07536877242188855,0.0014725888340399347,0.008596427363948084,0.010069016197988015
13,780.0,00:13:00,75.39958737485328,108.57540581978873,128.34813069491452,404.29661166114147,3.4041991268154277,0.10781264067243002,157.8679665696584,0.7032755090603384,0.07536877242188844,0.0014725888340399347,0.008596427363948098,0.010069016197988029
14,840.0,00:14:00,81.19955563445738,116.92736011361863,128.34813069491452,404.29661166114147,3.4041991268154277,0.10781264067243024,157.86796656965862,0.7032755090603366,0.07536877242188855,0.0014725888340399347,0.008596427363948084,0.010069016197988029
15,900.0,00:15:00,86.99952389406148,125.27931440744854,128.34813069491452,404.29661166114056,3.4041991268154277,0.10781264067243002,157.86796656965862,0.7032755090603366,0.07536877242188833,0.0014725888340399347,0.008596427363948111,0.010069016197988029
16,960.0,00:16:00,92.79949215366558,133.63126870127843,128.34813069491452,404.29661166114147,3.4041991268154277,0.10781264067243024,157.86796656965862,0.7032755090603384,0.07536877242188855,0.0014725888340399347,0.008596427363948084,0.010069016197988029
17,1020.0,00:17:00,98.59946041326968,141.98322299510835,128.34813069491474,404.29661166114056,3.4041991268154277,0.10781264067243024,157.86796656965862,0.7032755090603366,0.07536877242188855,0.0014725888340399347,0.008596427363948084,0.010069016197988029
18,1080.0,00:18:00,104.39942867287378,150.33517728893824,128.34813069491474,404.29661166114147,3.4041991268154277,0.10781264067243002,157.86796656965817,0.7032755090603366,0.07536877242188833,0.0014725888340399347,0.008596427363948084,0.010069016197988029
19,1140.0,00:19:00,110.19939693247788,158.68713158276813,128.3481306949143,404.29661166114147,3.4041991268154277,0.10781264067243002,157.86796656965862,0.7032755090603384,0.07536877242188855,0.0014725888340399347,0.008596427363948111,0.010069016197988029
20,1200.0,00:20:00,115.99936519208198,167.03908587659805,128.34813069491474,404.29661166114056,3.4041991268154277,0.10781264067243024,157.86796656965862,0.7032755090603366,0.07536877242188855,0.0014725888340399347,0.008596427363948084,0.010069016197988029
21,1260.0,00:21:00,121.79933345168608,175.39104017042794,128.34813069491474,404.29661166114056,3.4041991268154277,0.10781264067243024,157.86796656965862,0.7032755090603366,0.07536877242188855,0.0014725888340399347,0.008596427363948084,0.010069016197988029
22,1320.0,00:22:00,128.5322529356046,184.2387035227255,133.68496885431978,421.10765180039016,3.590663315815192,0.11229545903875282,164.4326307458091,0.6234480049850344,0.06968170936198392,0.0018108737240853066,0.01008400367470802,0.011894877445890017
